id,track_name,track_release,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,track_rank,genre
2Te14aSrBgFj1CE2sBBVMX,Alone,2017-06-02,Halsey,58,0.602,0.724,2,-3.469,0,0.0352,0.0184,0.0,0.606,0.451,100.064,audio_features,spotify:track:2Te14aSrBgFj1CE2sBBVMX,https://api.spotify.com/v1/tracks/2Te14aSrBgFj1CE2sBBVMX,https://api.spotify.com/v1/audio-analysis/2Te14aSrBgFj1CE2sBBVMX,205660,4,19,Pop
3HFvMIvCBNGkypFCQUHjyV,Supernatural,2022-09-09,Barns Courtney,64,0.579,0.846,0,-3.929,0,0.0329,0.0265,0.0,0.0418,0.612,98.019,audio_features,spotify:track:3HFvMIvCBNGkypFCQUHjyV,https://api.spotify.com/v1/tracks/3HFvMIvCBNGkypFCQUHjyV,https://api.spotify.com/v1/audio-analysis/3HFvMIvCBNGkypFCQUHjyV,167288,4,20,Rock
6mxQumGBeHnuG3vrtMaRVl,Sad Disco,2023-02-14,flipturn,26,0.722,0.418,9,-8.274,1,0.0319,0.00461,0.76,0.127,0.134,123.028,audio_features,spotify:track:6mxQumGBeHnuG3vrtMaRVl,https://api.spotify.com/v1/tracks/6mxQumGBeHnuG3vrtMaRVl,https://api.spotify.com/v1/audio-analysis/6mxQumGBeHnuG3vrtMaRVl,227213,4,21,Indie / Alternative
4y5bvROuBDPr5fuwXbIBZR,Paper Rings,2019-08-23,Taylor Swift,87,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979,audio_features,spotify:track:4y5bvROuBDPr5fuwXbIBZR,https://api.spotify.com/v1/tracks/4y5bvROuBDPr5fuwXbIBZR,https://api.spotify.com/v1/audio-analysis/4y5bvROuBDPr5fuwXbIBZR,222400,4,22,Pop
6Tv21RLLA1Dt6OtPNz8QDq,All The Good Times,2022-06-03,Angel Olsen,55,0.595,0.47,4,-8.722,1,0.0261,0.368,0.00136,0.0947,0.318,81.008,audio_features,spotify:track:6Tv21RLLA1Dt6OtPNz8QDq,https://api.spotify.com/v1/tracks/6Tv21RLLA1Dt6OtPNz8QDq,https://api.spotify.com/v1/audio-analysis/6Tv21RLLA1Dt6OtPNz8QDq,276827,4,23,Indie / Alternative
6IbCvfmmICEEAyDwQ9zcbt,I Don't Wanna Talk (I Just Wanna Dance),2021-09-09,Glass Animals,65,0.703,0.624,7,-6.228,1,0.0364,0.0156,5.53e-05,0.299,0.808,131.966,audio_features,spotify:track:6IbCvfmmICEEAyDwQ9zcbt,https://api.spotify.com/v1/tracks/6IbCvfmmICEEAyDwQ9zcbt,https://api.spotify.com/v1/audio-analysis/6IbCvfmmICEEAyDwQ9zcbt,195191,4,24,Pop
7exHT4swWOKL5addPeqkLP,THE LONELIEST,2023-01-20,Måneskin,75,0.525,0.599,2,-5.001,1,0.0281,0.00151,0.0,0.0762,0.226,129.841,audio_features,spotify:track:7exHT4swWOKL5addPeqkLP,https://api.spotify.com/v1/tracks/7exHT4swWOKL5addPeqkLP,https://api.spotify.com/v1/audio-analysis/7exHT4swWOKL5addPeqkLP,247067,4,25,Rock
0sfrbCvmUUfJgZlKqXQbQ6,The Walk Home,2022-11-16,Young the Giant,60,0.515,0.899,7,-6.404,1,0.0493,0.0062,1.18e-05,0.49,0.31,124.993,audio_features,spotify:track:0sfrbCvmUUfJgZlKqXQbQ6,https://api.spotify.com/v1/tracks/0sfrbCvmUUfJgZlKqXQbQ6,https://api.spotify.com/v1/audio-analysis/0sfrbCvmUUfJgZlKqXQbQ6,196643,4,26,Indie / Alternative
1UqhkbzB1kuFwt2iy4h29Q,Cough Syrup,2011,Young the Giant,73,0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,audio_features,spotify:track:1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/tracks/1UqhkbzB1kuFwt2iy4h29Q,https://api.spotify.com/v1/audio-analysis/1UqhkbzB1kuFwt2iy4h29Q,249520,3,27,Indie / Alternative
4e3ZNTAV6PCrdYMUrUlMpQ,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),2023-07-07,Taylor Swift,85,0.547,0.855,7,-4.7,1,0.0597,0.0164,0.0,0.144,0.282,131.073,audio_features,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,https://api.spotify.com/v1/tracks/4e3ZNTAV6PCrdYMUrUlMpQ,https://api.spotify.com/v1/audio-analysis/4e3ZNTAV6PCrdYMUrUlMpQ,266467,4,28,Pop
